"date","state","city","place_type","confirmed","deaths","is_last","estimated_population_2019","city_ibge_code","confirmed_per_100k_inhabitants","death_rate"
2020-06-22,"RS","","state",19710,458,"False",11377239,43,173.24063,0.0232
2020-06-22,"SC","","state",17937,256,"False",7164788,42,250.34935,0.0143
2020-06-22,"SE","","state",19384,491,"False",2298696,28,843.2607,0.0253
2020-06-22,"SP","","state",221973,12634,"False",45919049,35,483.40069,0.0569
2020-06-22,"TO","","state",8766,179,"False",1572866,17,557.32656,0.0204
2020-06-21,"AC","","state",11381,300,"False",881935,12,1290.45791,0.0264
2020-06-21,"AL","","state",28657,884,"False",3337357,27,858.6735,0.0308
2020-06-21,"AM","","state",63410,2657,"False",4144597,13,1529.94368,0.0419
2020-06-21,"AP","","state",21840,359,"False",845731,16,2582.3814,0.0164
2020-06-21,"BA","","state",46279,1391,"False",14873064,29,311.15983,0.0301
2020-06-21,"CE","","state",92866,5523,"False",9132078,23,1016.92079,0.0595
2020-06-21,"DF","","state",33227,423,"False",3015268,53,1101.95843,0.0127
2020-06-21,"ES","","state",34866,1328,"False",4018650,32,867.60479,0.0381
2020-06-21,"GO","","state",15904,306,"False",7018354,52,226.60584,0.0192
2020-06-21,"MA","","state",70059,1721,"False",7075181,21,990.20788,0.0246
2020-06-21,"MG","","state",27641,661,"False",21168791,31,130.5743,0.0239
2020-06-21,"MS","","state",5391,47,"False",2778986,50,193.99162,0.0087
2020-06-21,"MT","","state",9776,370,"False",3484466,51,280.55949,0.0378
2020-06-21,"PA","","state",86020,4605,"False",8602865,15,999.89945,0.0535
2020-06-21,"PB","","state",36784,766,"False",4018127,25,915.4514,0.0208
2020-06-21,"PE","","state",52113,4234,"False",9557071,26,545.28213,0.0812
2020-06-21,"PI","","state",14476,502,"False",3273227,22,442.25469,0.0347
2020-06-21,"PR","","state",14501,451,"False",11433957,41,126.82399,0.0311
2020-06-21,"RJ","","state",96133,8875,"False",17264943,33,556.81041,0.0923
2020-06-21,"RN","","state",19957,730,"False",3506853,24,569.08573,0.0366
2020-06-21,"RO","","state",15181,417,"False",1777225,11,854.19685,0.0275
2020-06-21,"RR","","state",8188,251,"False",605761,14,1351.68821,0.0307
2020-06-21,"RS","","state",19348,434,"False",11377239,43,170.05883,0.0224
2020-06-21,"SC","","state",17582,246,"False",7164788,42,245.39456,0.014
2020-06-21,"SE","","state",18985,462,"False",2298696,28,825.90303,0.0243
2020-06-21,"SP","","state",219185,12588,"False",45919049,35,477.32914,0.0574
2020-06-21,"TO","","state",8477,178,"False",1572866,17,538.95246,0.021
2020-06-20,"AC","","state",11263,297,"False",881935,12,1277.07824,0.0264
2020-06-20,"AL","","state",27698,866,"False",3337357,27,829.93818,0.0313
2020-06-20,"AM","","state",62902,2650,"False",4144597,13,1517.68676,0.0421
2020-06-20,"AP","","state",21574,353,"False",845731,16,2550.92931,0.0164
2020-06-20,"BA","","state",45304,1350,"False",14873064,29,304.60435,0.0298
2020-06-20,"CE","","state",92397,5520,"False",9132078,23,1011.78505,0.0597
2020-06-20,"DF","","state",32238,405,"False",3015268,53,1069.1587,0.0126
2020-06-20,"ES","","state",34238,1297,"False",4018650,32,851.97765,0.0379
2020-06-20,"GO","","state",15450,295,"False",7018354,52,220.13709,0.0191
2020-06-20,"MA","","state",69673,1684,"False",7075181,21,984.75219,0.0242
2020-06-20,"MG","","state",27305,636,"False",21168791,31,128.98705,0.0233
2020-06-20,"MS","","state",5237,45,"False",2778986,50,188.45003,0.0086
2020-06-20,"MT","","state",9262,341,"False",3484466,51,265.8083,0.0368
2020-06-20,"PA","","state",84654,4583,"False",8602865,15,984.02102,0.0541
2020-06-20,"PB","","state",36521,743,"False",4018127,25,908.90606,0.0203
2020-06-20,"PE","","state",51118,4148,"False",9557071,26,534.87099,0.0811
2020-06-20,"PI","","state",14264,485,"False",3273227,22,435.7779,0.034
2020-06-20,"PR","","state",13821,437,"False",11433957,41,120.87679,0.0316
2020-06-20,"RJ","","state",95537,8824,"False",17264943,33,553.35833,0.0924
2020-06-20,"RN","","state",19290,697,"False",3506853,24,550.06583,0.0361
2020-06-20,"RO","","state",14952,409,"False",1777225,11,841.3116,0.0274
2020-06-20,"RR","","state",8120,251,"False",605761,14,1340.46266,0.0309
2020-06-20,"RS","","state",19138,430,"False",11377239,43,168.21304,0.0225
2020-06-20,"SC","","state",17108,237,"False",7164788,42,238.77887,0.0139
2020-06-20,"SE","","state",18449,448,"False",2298696,28,802.58547,0.0243
2020-06-20,"SP","","state",215793,12494,"False",45919049,35,469.94222,0.0579
2020-06-20,"TO","","state",8354,175,"False",1572866,17,531.13234,0.0209
2020-06-19,"AC","","state",10987,292,"False",881935,12,1245.78342,0.0266
2020-06-19,"AL","","state",26906,848,"False",3337357,27,806.20683,0.0315
2020-06-19,"AM","","state",61683,2624,"False",4144597,13,1488.27498,0.0425
2020-06-19,"AP","","state",19922,348,"False",845731,16,2355.59534,0.0175
2020-06-19,"BA","","state",43922,1305,"False",14873064,29,295.31238,0.0297
2020-06-19,"CE","","state",90441,5497,"False",9132078,23,990.36605,0.0608
2020-06-19,"DF","","state",30902,396,"False",3015268,53,1024.85086,0.0128
2020-06-19,"ES","","state",33232,1267,"False",4018650,32,826.94437,0.0381
2020-06-19,"GO","","state",14540,289,"False",7018354,52,207.17108,0.0199
2020-06-19,"MA","","state",68500,1645,"False",7075181,21,968.17311,0.024
2020-06-19,"MG","","state",26052,600,"False",21168791,31,123.06796,0.023
2020-06-19,"MS","","state",4990,43,"False",2778986,50,179.5619,0.0086
2020-06-19,"MT","","state",8725,322,"False",3484466,51,250.39705,0.0369
2020-06-19,"PA","","state",82881,4519,"False",8602865,15,963.41161,0.0545
2020-06-19,"PE","","state",49720,4102,"False",9557071,26,520.24307,0.0825
2020-06-19,"PI","","state",13813,459,"False",3273227,22,421.99945,0.0332
2020-06-19,"PR","","state",12932,428,"False",11433957,41,113.1017,0.0331
2020-06-19,"RJ","","state",93378,8595,"False",17264943,33,540.85322,0.092
2020-06-19,"RN","","state",19206,697,"False",3506853,24,547.67052,0.0363
2020-06-19,"RO","","state",14353,391,"False",1777225,11,807.60737,0.0272
2020-06-19,"RR","","state",8037,245,"False",605761,14,1326.76088,0.0305
2020-06-19,"RS","","state",18587,423,"False",11377239,43,163.37004,0.0228
2020-06-19,"SC","","state",16332,234,"False",7164788,42,227.94813,0.0143
2020-06-19,"SE","","state",17808,426,"False",2298696,28,774.70009,0.0239
2020-06-19,"SP","","state",211658,12232,"False",45919049,35,460.93725,0.0578
2020-06-19,"TO","","state",8203,167,"False",1572866,17,521.53203,0.0204
2020-06-18,"AC","","state",10664,287,"False",881935,12,1209.15941,0.0269
2020-06-18,"AL","","state",25633,831,"False",3337357,27,768.06287,0.0324
2020-06-18,"AM","","state",60736,2605,"False",4144597,13,1465.42595,0.0429
2020-06-18,"AP","","state",19387,342,"False",845731,16,2292.33645,0.0176
2020-06-18,"BA","","state",41577,1263,"False",14873064,29,279.54563,0.0304
2020-06-18,"CE","","state",88132,5393,"False",9132078,23,965.08155,0.0612
2020-06-18,"DF","","state",28521,379,"False",3015268,53,945.88607,0.0133
2020-06-18,"ES","","state",31772,1223,"False",4018650,32,790.61376,0.0385
2020-06-18,"GO","","state",13665,275,"False",7018354,52,194.70377,0.0201
2020-06-18,"MA","","state",66091,1607,"False",7075181,21,934.12451,0.0243
2020-06-18,"MG","","state",24906,570,"False",21168791,31,117.65433,0.0229
2020-06-18,"MS","","state",4666,40,"False",2778986,50,167.90297,0.0086
2020-06-18,"MT","","state",8166,295,"False",3484466,51,234.35442,0.0361
2020-06-18,"PA","","state",80072,4469,"False",8602865,15,930.75969,0.0558
2020-06-18,"PB","","state",31760,709,"False",4018127,25,790.41802,0.0223
2020-06-18,"PE","","state",48626,4057,"False",9557071,26,508.79605,0.0834
2020-06-18,"PI","","state",12567,435,"False",3273227,22,383.93304,0.0346
2020-06-18,"PR","","state",12059,415,"False",11433957,41,105.46655,0.0344
2020-06-18,"RJ","","state",87317,8412,"False",17264943,33,505.7474,0.0963
2020-06-18,"RN","","state",16039,693,"False",3506853,24,457.36163,0.0432
2020-06-18,"RO","","state",13804,374,"False",1777225,11,776.71651,0.0271
2020-06-18,"RR","","state",7650,239,"False",605761,14,1262.8743,0.0312
2020-06-18,"RS","","state",17822,406,"False",11377239,43,156.64609,0.0228
2020-06-18,"SC","","state",15573,222,"False",7164788,42,217.35465,0.0143
2020-06-18,"SE","","state",17338,400,"False",2298696,28,754.25372,0.0231
2020-06-18,"SP","","state",192628,11846,"False",45919049,35,419.49475,0.0615
2020-06-18,"TO","","state",7956,159,"False",1572866,17,505.82821,0.02
2020-06-17,"AC","","state",10339,281,"False",881935,12,1172.30862,0.0272
2020-06-17,"AL","","state",24867,811,"False",3337357,27,745.11058,0.0326
2020-06-17,"AM","","state",59547,2579,"False",4144597,13,1436.738,0.0433
2020-06-17,"AP","","state",18618,338,"False",845731,16,2201.4092,0.0182
2020-06-17,"BA","","state",40926,1222,"False",14873064,29,275.16859,0.0299
2020-06-17,"CE","","state",85606,5307,"False",9132078,23,937.42081,0.062
2020-06-17,"DF","","state",27140,365,"False",3015268,53,900.08583,0.0134
2020-06-17,"ES","","state",30508,1179,"False",4018650,32,759.16041,0.0386
2020-06-17,"GO","","state",12776,255,"False",7018354,52,182.03698,0.02
2020-06-17,"MA","","state",64735,1570,"False",7075181,21,914.95892,0.0243
2020-06-17,"MG","","state",23347,537,"False",21168791,31,110.28972,0.023
2020-06-17,"MS","","state",4274,39,"False",2778986,50,153.7971,0.0091
2020-06-17,"MT","","state",7361,272,"False",3484466,51,211.25188,0.037
2020-06-17,"PA","","state",76623,4395,"False",8602865,15,890.6684,0.0574
2020-06-17,"PB","","state",31712,696,"False",4018127,25,789.22344,0.0219
2020-06-17,"PE","","state",47446,4009,"False",9557071,26,496.44917,0.0845
2020-06-17,"PI","","state",12099,421,"False",3273227,22,369.63523,0.0348
2020-06-17,"PR","","state",11225,394,"False",11433957,41,98.17249,0.0351
2020-06-17,"RJ","","state",86963,8138,"False",17264943,33,503.697,0.0936
2020-06-17,"RN","","state",15889,655,"False",3506853,24,453.08429,0.0412
2020-06-17,"RO","","state",13567,361,"False",1777225,11,763.38111,0.0266
2020-06-17,"RR","","state",7421,224,"False",605761,14,1225.07061,0.0302
2020-06-17,"RS","","state",17128,387,"False",11377239,43,150.54619,0.0226
2020-06-17,"SC","","state",15015,216,"False",7164788,42,209.56656,0.0144
2020-06-17,"SE","","state",16807,383,"False",2298696,28,731.15366,0.0228
2020-06-17,"SP","","state",191517,11521,"False",45919049,35,417.07528,0.0602
2020-06-17,"TO","","state",7774,152,"False",1572866,17,494.25698,0.0196
2020-06-16,"AC","","state",10003,271,"False",881935,12,1134.21057,0.0271
2020-06-16,"AL","","state",23632,793,"False",3337357,27,708.10525,0.0336
2020-06-16,"AM","","state",58018,2550,"False",4144597,13,1399.8466,0.044
2020-06-16,"AP","","state",18024,337,"False",845731,16,2131.1741,0.0187
2020-06-16,"BA","","state",39206,1181,"False",14873064,29,263.60406,0.0301
2020-06-16,"CE","","state",82169,5192,"False",9132078,23,899.78426,0.0632
2020-06-16,"DF","","state",25380,348,"False",3015268,53,841.71623,0.0137
2020-06-16,"ES","","state",29030,1132,"False",4018650,32,722.38189,0.039
2020-06-16,"GO","","state",11836,249,"False",7018354,52,168.64353,0.021
2020-06-16,"MA","","state",62711,1537,"False",7075181,21,886.35188,0.0245
2020-06-16,"MG","","state",22024,502,"False",21168791,31,104.03995,0.0228
2020-06-16,"MS","","state",4164,36,"False",2778986,50,149.83883,0.0086
2020-06-16,"MT","","state",6877,250,"False",3484466,51,197.36166,0.0364
2020-06-16,"PA","","state",74192,4350,"False",8602865,15,862.41037,0.0586
2020-06-16,"PB","","state",30128,671,"False",4018127,25,749.80208,0.0223
2020-06-16,"PE","","state",46427,3959,"False",9557071,26,485.78691,0.0853
2020-06-16,"PI","","state",11559,398,"False",3273227,22,353.13774,0.0344
2020-06-16,"PR","","state",10690,372,"False",11433957,41,93.49344,0.0348
2020-06-16,"RJ","","state",83343,7967,"False",17264943,33,482.72966,0.0956
2020-06-16,"RN","","state",15690,626,"False",3506853,24,447.40969,0.0399
2020-06-16,"RO","","state",13010,346,"False",1777225,11,732.04012,0.0266
2020-06-16,"RR","","state",7150,224,"False",605761,14,1180.3335,0.0313
2020-06-16,"RS","","state",16471,374,"False",11377239,43,144.7715,0.0227
2020-06-16,"SC","","state",14402,212,"False",7164788,42,201.01083,0.0147
2020-06-16,"SE","","state",16310,364,"False",2298696,28,709.53271,0.0223
2020-06-16,"SP","","state",190285,11132,"False",45919049,35,414.39229,0.0585
2020-06-16,"TO","","state",7573,149,"False",1572866,17,481.47776,0.0197
2020-06-15,"AC","","state",9771,265,"False",881935,12,1107.90478,0.0271
2020-06-15,"AL","","state",22926,768,"False",3337357,27,686.95078,0.0335
2020-06-15,"AM","","state",56777,2512,"False",4144597,13,1369.904,0.0442
2020-06-15,"AP","","state",16813,329,"False",845731,16,1987.98436,0.0196
2020-06-15,"BA","","state",37620,1145,"False",14873064,29,252.94048,0.0304
2020-06-15,"CE","","state",79853,5041,"False",9132078,23,874.42311,0.0631
2020-06-15,"DF","","state",23684,319,"False",3015268,53,785.46915,0.0135
2020-06-15,"ES","","state",27652,1087,"False",4018650,32,688.09177,0.0393
2020-06-15,"GO","","state",10441,238,"False",7018354,52,148.76708,0.0228
2020-06-15,"MA","","state",60592,1499,"False",7075181,21,856.40212,0.0247
2020-06-15,"MG","","state",21728,481,"False",21168791,31,102.64167,0.0221
2020-06-15,"MS","","state",3785,36,"False",2778986,50,136.20076,0.0095
2020-06-15,"MT","","state",6390,223,"False",3484466,51,183.38535,0.0349
2020-06-15,"PA","","state",71243,4291,"False",8602865,15,828.13109,0.0602
2020-06-15,"PB","","state",28668,656,"False",4018127,25,713.46675,0.0229
2020-06-15,"PE","","state",45507,3886,"False",9557071,26,476.16053,0.0854
2020-06-15,"PI","","state",10881,393,"False",3273227,22,332.42424,0.0361
2020-06-15,"PR","","state",9839,342,"False",11433957,41,86.0507,0.0348
